id,event_id,rating,comment,sentiment,override_sentiment,sentiment_score,sentiment_raw,language,created_at,updated_at,user_id,registration_id,source,is_seeded
rv-1773846324489-s3e3jltrep,ev-1773505731681,4,جيد مش كتير حلو,neutral,,0.1884007304906845,"{""probs"":{""neutral"":0.1884007304906845,""negative"":0.1875278800725937,""positive"":0.6240714192390442},""score"":0.1884007304906845,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T15:05:24.129Z""","""2026-03-18T15:24:08.488Z""",,,manual,false
rv-1773846617132-j55i36npj8,ev-1773505731681,2,جيد مش كتير حلو,neutral,,0.1884007304906845,"{""probs"":{""neutral"":0.1884007304906845,""negative"":0.1875278800725937,""positive"":0.6240714192390442},""score"":0.1884007304906845,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T15:10:16.773Z""","""2026-03-18T15:24:08.591Z""",,,manual,false
rv-1774353638361-n3oed2h9vx,ev-1773505731681,5,بجننننن,neutral,,0.37825125455856323,"{""probs"":{""neutral"":0.37825125455856323,""negative"":0.3090210556983948,""positive"":0.3127277195453644},""score"":0.37825125455856323,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-24T12:00:36.787Z""","""2026-03-24T12:00:36.787Z""",,,manual,false
rv-1774353651408-b3k1eud3yg,ev-1773505731681,5,راااااااااااائع,positive,,0.6577897071838379,"{""probs"":{""neutral"":0.20388229191303253,""negative"":0.13832800090312958,""positive"":0.6577897071838379},""score"":0.6577897071838379,""language"":""ur"",""sentiment"":""positive"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ur,"""2026-03-24T12:00:49.835Z""","""2026-03-24T12:00:49.835Z""",,,manual,false
rv-1773759020502-8gfrmmqudl,ev-1773505731681,3,"""الايفنت كان سيء والتنظيم ضعيف جدا""",negative,,0.9130069017410278,"{""probs"":{""neutral"":0.07334509491920471,""negative"":0.9130069017410278,""positive"":0.013647982850670815},""score"":0.9130069017410278,""language"":""ar"",""sentiment"":""negative"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-17T14:50:19.971Z""","""2026-03-18T15:24:07.553Z""",,,manual,false
rv-1773759069143-mstrwht96p,ev-1773505731681,1,كتتتير منيييح كان ومرتب وكلشي تمام,positive,,0.8505333662033081,"{""probs"":{""neutral"":0.12134712189435959,""negative"":0.028119545429944992,""positive"":0.8505333662033081},""score"":0.8505333662033081,""language"":""ar"",""sentiment"":""positive"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-17T14:51:08.607Z""","""2026-03-18T15:24:07.810Z""",,,manual,false
rv-1773844041067-0x7rd2posv,ev-1773505731681,3,جيد مش كتير بس منيح حلو,neutral,,0.14576184749603271,"{""probs"":{""neutral"":0.14576184749603271,""negative"":0.0666457861661911,""positive"":0.7875922918319702},""score"":0.14576184749603271,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T14:27:20.728Z""","""2026-03-18T15:24:07.921Z""",,,manual,false
rv-1773844737547-63w1uaj8ry,ev-1773505731681,1,جيد مش كتير بس منيح حلو,neutral,,0.14576184749603271,"{""probs"":{""neutral"":0.14576184749603271,""negative"":0.0666457861661911,""positive"":0.7875922918319702},""score"":0.14576184749603271,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T14:38:57.180Z""","""2026-03-18T15:24:08.042Z""",,,manual,false
rv-1773845317391-rtpfz70odi,ev-1773505731681,1,جيد مش كتير بس منيح حلو,neutral,,0.14576184749603271,"{""probs"":{""neutral"":0.14576184749603271,""negative"":0.0666457861661911,""positive"":0.7875922918319702},""score"":0.14576184749603271,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T14:48:37.029Z""","""2026-03-18T15:24:08.151Z""",,,manual,false
rv-1773845608664-bn2vrcyqs1,ev-1773505731681,2,جيد مش كتير بس,neutral,,0.2742159068584442,"{""probs"":{""neutral"":0.2742159068584442,""negative"":0.24989135563373566,""positive"":0.4758927822113037},""score"":0.2742159068584442,""language"":""ar"",""sentiment"":""neutral"",""model_version"":""cardiffnlp/twitter-xlm-roberta-base-sentiment | GP-NLP-AR-MIXED-V1""}",ar,"""2026-03-18T14:53:28.399Z""","""2026-03-18T15:24:08.268Z""",,,manual,false
